Nama Barang,Jumlah,Link Pembelian,Harga,Catatan
ESP32-C3 Super Mini,1,,,
Modul TP4056,1,,,
PCB grid 4x4 / protoboard,1,,,
Switch/tombol,16,,,
Keycap,16,,,
Diode kecil (1N4148),16,,,
Kabel jumper/wiring,secukupnya,,,
Header pin (male/female),secukupnya,,,
Baterai Li-ion/LiPo 3.7V,1,,,
Kabel micro USB / Type C,1,,,
Solder & soldering iron,1 set,,,
Double tape/spacer/mounting,secukupnya,,,
Alat potong/kupas kabel,1,,,
Resistor pull-up/pull-down,opsional,,,
Case/enclosure,opsional,,,
Stiker/label tombol,opsional,,,
